"DateTime","Price","Losses","Break Even","Profit"
"2013-12-29 00:00:00",769.47,217410,165980,1527837
"2013-12-30 00:00:00",799.9,203430,166843,1552931
"2013-12-31 00:00:00",795.45,203873,171803,1550681
"2014-01-01 00:00:00",800.45,202053,178907,1550697
"2014-01-02 00:00:00",848.34,159284,162585,1614144
"2014-01-03 00:00:00",863.84,148648,176329,1615828
"2014-01-04 00:00:00",890.24,130066,148334,1668246
"2014-01-05 00:00:00",970.61,84253,134632,1731909
"2014-01-06 00:00:00",1029.09,79879,110768,1766794
"2014-01-07 00:00:00",961.92,103202,152184,1711262
"2014-01-08 00:00:00",912.9,148429,171087,1664341
"2014-01-09 00:00:00",915.6,147710,174753,1669554
"2014-01-10 00:00:00",935.36,137349,176432,1682728
"2014-01-11 00:00:00",972.92,102658,175563,1721702
"2014-01-12 00:00:00",972.37,102909,184277,1718809
"2014-01-13 00:00:00",914.59,144338,218027,1656145
"2014-01-14 00:00:00",923.33,141563,223769,1657612
"2014-01-15 00:00:00",944.08,125264,229474,1677512
"2014-01-16 00:00:00",933.02,134119,232735,1666233
"2014-01-17 00:00:00",898.49,212773,182211,1648747
"2014-01-18 00:00:00",904.74,197798,200867,1651031
"2014-01-19 00:00:00",929.98,165361,209142,1680636
"2014-01-20 00:00:00",953.25,133082,182352,1743517
"2014-01-21 00:00:00",958.71,131401,173771,1759873
"2014-01-22 00:00:00",954.45,132338,187119,1752563
"2014-01-23 00:00:00",947.17,138485,232645,1702709
"2014-01-24 00:00:00",926.21,164084,257328,1660183
"2014-01-25 00:00:00",947.14,139759,239314,1705862
"2014-01-26 00:00:00",994.36,104744,108502,1878701
"2014-01-27 00:00:00",979.34,121970,176494,1806320
"2014-01-28 00:00:00",942.13,171559,248472,1690033
"2014-01-29 00:00:00",934.71,190805,248433,1679274
"2014-01-30 00:00:00",931.35,191327,269390,1664152
"2014-01-31 00:00:00",939.65,168420,278930,1685126
"2014-02-01 00:00:00",948.5,150800,263281,1726315
"2014-02-02 00:00:00",946.9,164153,271196,1707548
"2014-02-03 00:00:00",945.63,161441,284841,1705222
"2014-02-04 00:00:00",924.93,239280,262081,1656451
"2014-02-05 00:00:00",914.9,317982,204277,1641332
"2014-02-06 00:00:00",854.85,521820,63796,1586434
"2014-02-07 00:00:00",742.4,623063,63771,1489991
"2014-02-08 00:00:00",675.67,679922,75097,1427933
"2014-02-09 00:00:00",658.33,695944,71581,1419675
"2014-02-10 00:00:00",600.04,754338,40150,1405768
"2014-02-11 00:00:00",579.97,746720,55857,1402796
"2014-02-12 00:00:00",548.51,720082,33927,1388256
"2014-02-13 00:00:00",500.27,724300,30713,1379875
"2014-02-14 00:00:00",401.11,746474,31447,1356921
"2014-02-15 00:00:00",379.01,756917,30442,1349124
"2014-02-16 00:00:00",380.2,747596,42956,1348320
"2014-02-17 00:00:00",337.29,769270,37332,1334978
"2014-02-18 00:00:00",309.22,784760,30273,1329218
"2014-02-19 00:00:00",282.94,792167,30767,1325154
"2014-02-20 00:00:00",190.42,836489,53587,1265097
"2014-02-21 00:00:00",125.91,952091,177628,1030659
"2014-02-22 00:00:00",193.65,799949,86467,1277189
"2014-02-23 00:00:00",284.73,741209,70025,1357315
"2014-02-24 00:00:00",224.37,786038,97465,1295419
"2014-02-25 00:00:00",138.48,885502,278819,1021353
"2014-02-26 00:00:00",586.42,198363,634306,1358295
"2014-02-27 00:00:00",605.2,152521,675863,1370552
"2014-02-28 00:00:00",584.5,199253,641883,1346867
"2014-03-01 00:00:00",413.42,532393,400080,1258797
"2014-03-02 00:00:00",552.23,316979,554492,1323160
"2014-03-03 00:00:00",620.43,130611,724668,1353992
"2014-03-04 00:00:00",665.69,101464,755815,1359598
"2014-03-05 00:00:00",651.37,103523,761069,1354970
"2014-03-06 00:00:00",649.03,103819,767362,1354060
"2014-03-07 00:00:00",627.76,129366,750472,1351952
"2014-03-08 00:00:00",607.13,143105,758563,1340176
"2014-03-09 00:00:00",618.06,131922,773067,1348439
"2014-03-10 00:00:00",614.19,138598,770257,1345480
"2014-03-11 00:00:00",609.81,143060,766532,1343516
"2014-03-12 00:00:00",624.5,131623,775975,1345664
"2014-03-13 00:00:00",626.1,131592,783406,1345496
"2014-03-14 00:00:00",620.92,131451,767726,1339593
"2014-03-15 00:00:00",619.01,132066,768009,1338938
"2014-03-16 00:00:00",620.22,132634,771593,1340126
"2014-03-17 00:00:00",612.62,139742,780983,1336855
"2014-03-18 00:00:00",598.69,156168,778247,1330573
"2014-03-19 00:00:00",598.61,159948,786378,1331715
"2014-03-20 00:00:00",579.38,223539,728757,1328324
"2014-03-21 00:00:00",563.82,265247,696912,1317845
"2014-03-22 00:00:00",553.56,306676,652319,1315777
"2014-03-23 00:00:00",551.48,315129,648073,1315039
"2014-03-24 00:00:00",551.9,315717,651132,1321381
"2014-03-25 00:00:00",560.04,303599,666768,1323405
"2014-03-26 00:00:00",560.84,303185,672969,1323041
"2014-03-27 00:00:00",514.1,357498,641438,1305805
"2014-03-28 00:00:00",484.35,814352,78489,1419116
"2014-03-29 00:00:00",484.03,808526,91709,1419096
"2014-03-30 00:00:00",451.54,834640,92853,1403222
"2014-03-31 00:00:00",447.96,859181,67648,1408394
"2014-04-01 00:00:00",462.69,851172,72661,1418262
"2014-04-02 00:00:00",444.76,871230,65720,1410847
"2014-04-03 00:00:00",417.71,898904,39672,1394887
"2014-04-04 00:00:00",435.99,860358,59649,1417543
"2014-04-05 00:00:00",450.27,824153,77812,1435880
"2014-04-06 00:00:00",459.34,818941,84642,1447943
"2014-04-07 00:00:00",466.52,811485,68292,1474327
"2014-04-08 00:00:00",469.13,806055,79249,1474034
"2014-04-09 00:00:00",465.37,805906,97508,1457706
"2014-04-10 00:00:00",424.04,913800,60202,1391569
"2014-04-11 00:00:00",403.05,949777,39271,1380645
"2014-04-12 00:00:00",448.92,814213,117784,1437125
"2014-04-13 00:00:00",432,873422,100288,1407631
"2014-04-14 00:00:00",458.96,792635,131540,1460235
"2014-04-15 00:00:00",496.53,734776,82228,1561831
"2014-04-16 00:00:00",522.56,715052,64225,1592987
"2014-04-17 00:00:00",511.96,719279,89988,1563760
"2014-04-18 00:00:00",492.08,742546,108071,1525750
"2014-04-19 00:00:00",495.03,736744,108736,1529538
"2014-04-20 00:00:00",505.46,718798,130741,1534699
"2014-04-21 00:00:00",507.67,715239,136754,1534017
"2014-04-22 00:00:00",501.95,717528,151241,1526186
"2014-04-23 00:00:00",496.11,729341,155055,1518476
"2014-04-24 00:00:00",492.28,729837,168275,1505332
"2014-04-25 00:00:00",470.41,816824,155547,1436556
"2014-04-26 00:00:00",458.63,857141,131104,1424859
"2014-04-27 00:00:00",449.4,875034,135701,1407278
"2014-04-28 00:00:00",435.95,925909,109750,1389414
