"DateTime","Price","Out","At","In"
"2011-12-27 00:00:00",4.03,373106,19148,119834
"2011-12-28 00:00:00",4.12,372322,16315,123709
"2011-12-29 00:00:00",4.22,371990,12894,128064
"2011-12-30 00:00:00",4.18,372008,17153,124183
"2011-12-31 00:00:00",4.6,370089,4652,138663
"2012-01-01 00:00:00",5.06,352903,18845,141959
"2012-01-02 00:00:00",5.14,352236,21247,140583
"2012-01-03 00:00:00",4.97,353582,24094,136109
"2012-01-04 00:00:00",5.23,344899,23527,145715
"2012-01-05 00:00:00",6.4,318025,12018,184718
"2012-01-06 00:00:00",6.67,314016,13412,187659
"2012-01-07 00:00:00",6.7,310866,18252,186176
"2012-01-08 00:00:00",6.97,308358,18128,189142
"2012-01-09 00:00:00",6.5,318322,19423,177739
"2012-01-10 00:00:00",6.45,317260,22040,176291
"2012-01-11 00:00:00",6.78,306604,26242,181696
"2012-01-12 00:00:00",6.67,307193,28477,179397
"2012-01-13 00:00:00",6.6,309279,27946,178335
"2012-01-14 00:00:00",6.59,309608,29220,177455
"2012-01-15 00:00:00",6.91,304584,29316,182630
"2012-01-16 00:00:00",6.85,304563,33117,179501
"2012-01-17 00:00:00",5.8,338521,34332,145062
"2012-01-18 00:00:00",6.03,332691,19838,166124
"2012-01-19 00:00:00",6.12,329063,23987,166229
"2012-01-20 00:00:00",6.42,316904,32692,170455
"2012-01-21 00:00:00",6.32,318314,33551,168598
"2012-01-22 00:00:00",6.28,321470,31908,167607
"2012-01-23 00:00:00",6.3,318703,35379,167740
"2012-01-24 00:00:00",6.31,318285,36860,167238
"2012-01-25 00:00:00",5.91,338248,31657,153187
"2012-01-26 00:00:00",5.61,349530,35716,138343
"2012-01-27 00:00:00",5.28,354346,48202,121470
"2012-01-28 00:00:00",5.51,349747,38696,136151
"2012-01-29 00:00:00",5.52,348253,40363,135543
"2012-01-30 00:00:00",5.49,347730,42022,135282
"2012-01-31 00:00:00",5.54,345766,44404,135614
"2012-02-01 00:00:00",5.84,332087,47460,146844
"2012-02-02 00:00:00",6.01,324489,30753,171834
"2012-02-03 00:00:00",5.93,329062,30878,167796
"2012-02-04 00:00:00",5.92,330073,28761,169070
