"DateTime","Number of Large Transactions","Price"
"2013-12-20 00:00:00",1200,697.82
"2013-12-21 00:00:00",961,650
"2013-12-22 00:00:00",850,657.43
"2013-12-23 00:00:00",926,677.96
"2013-12-24 00:00:00",781,697.96
"2013-12-25 00:00:00",945,691.94
"2013-12-26 00:00:00",1159,768.42
"2013-12-27 00:00:00",924,802.35
"2013-12-28 00:00:00",959,760.79
"2013-12-29 00:00:00",999,769.47
"2013-12-30 00:00:00",1167,799.9
"2013-12-31 00:00:00",694,795.45
"2014-01-01 00:00:00",874,800.45
"2014-01-02 00:00:00",1275,848.34
"2014-01-03 00:00:00",1433,863.84
"2014-01-04 00:00:00",759,890.24
"2014-01-05 00:00:00",1573,970.61
"2014-01-06 00:00:00",1650,1029.09
"2014-01-07 00:00:00",974,961.92
"2014-01-08 00:00:00",1270,912.9
"2014-01-09 00:00:00",925,915.6
"2014-01-10 00:00:00",939,935.36
"2014-01-11 00:00:00",690,972.92
"2014-01-12 00:00:00",704,972.37
"2014-01-13 00:00:00",813,914.59
"2014-01-14 00:00:00",1174,923.33
"2014-01-15 00:00:00",834,944.08
"2014-01-16 00:00:00",1030,933.02
"2014-01-17 00:00:00",619,898.49
"2014-01-18 00:00:00",553,904.74
"2014-01-19 00:00:00",939,929.98
"2014-01-20 00:00:00",1432,953.25
"2014-01-21 00:00:00",1160,958.71
"2014-01-22 00:00:00",754,954.45
"2014-01-23 00:00:00",918,947.17
"2014-01-24 00:00:00",1065,926.21
"2014-01-25 00:00:00",782,947.14
"2014-01-26 00:00:00",814,994.36
"2014-01-27 00:00:00",1382,979.34
"2014-01-28 00:00:00",1044,942.13
"2014-01-29 00:00:00",789,934.71
"2014-01-30 00:00:00",927,931.35
"2014-01-31 00:00:00",667,939.65
"2014-02-01 00:00:00",923,948.5
"2014-02-02 00:00:00",1018,946.9
"2014-02-03 00:00:00",990,945.63
"2014-02-04 00:00:00",1172,924.93
"2014-02-05 00:00:00",840,914.9
"2014-02-06 00:00:00",1073,854.85
"2014-02-07 00:00:00",1347,742.4
"2014-02-08 00:00:00",912,675.67
"2014-02-09 00:00:00",810,658.33
"2014-02-10 00:00:00",860,600.04
"2014-02-11 00:00:00",826,579.97
"2014-02-12 00:00:00",444,548.51
"2014-02-13 00:00:00",455,500.27
"2014-02-14 00:00:00",509,401.11
"2014-02-15 00:00:00",637,379.01
"2014-02-16 00:00:00",412,380.2
"2014-02-17 00:00:00",229,337.29
"2014-02-18 00:00:00",179,309.22
"2014-02-19 00:00:00",141,282.94
"2014-02-20 00:00:00",100,190.42
"2014-02-21 00:00:00",43,125.91
"2014-02-22 00:00:00",51,193.65
"2014-02-23 00:00:00",107,284.73
"2014-02-24 00:00:00",175,224.37
"2014-02-25 00:00:00",154,138.48
"2014-02-26 00:00:00",759,586.42
"2014-02-27 00:00:00",665,605.2
"2014-02-28 00:00:00",558,584.5
"2014-03-01 00:00:00",644,413.42
"2014-03-02 00:00:00",544,552.23
"2014-03-03 00:00:00",1229,620.43
