"DateTime","Number of Large Transactions","Price"
"2019-12-23 00:00:00",9490,7484.97
"2019-12-24 00:00:00",6601,7302.46
"2019-12-25 00:00:00",6002,7206.41
"2019-12-26 00:00:00",7640,7304.83
"2019-12-27 00:00:00",6319,7164.54
"2019-12-28 00:00:00",5313,7310.85
"2019-12-29 00:00:00",3925,7417.99
"2019-12-30 00:00:00",7427,7319.43
"2019-12-31 00:00:00",7440,7233.59
"2020-01-01 00:00:00",3710,7219.49
"2020-01-02 00:00:00",7118,7085.34
"2020-01-03 00:00:00",8767,7144.87
"2020-01-04 00:00:00",9384,7342.18
"2020-01-05 00:00:00",7972,7415.75
"2020-01-06 00:00:00",8884,7577.37
"2020-01-07 00:00:00",9537,7977.6
"2020-01-08 00:00:00",10687,8166.31
"2020-01-09 00:00:00",9256,7902.08
"2020-01-10 00:00:00",14709,7937.31
"2020-01-11 00:00:00",9985,8145.65
"2020-01-12 00:00:00",7554,8076.77
"2020-01-13 00:00:00",8304,8128.89
"2020-01-14 00:00:00",11865,8490.24
"2020-01-15 00:00:00",10349,8724.99
"2020-01-16 00:00:00",9306,8716.67
"2020-01-17 00:00:00",10083,8835.17
"2020-01-18 00:00:00",8524,8890.96
"2020-01-19 00:00:00",8885,8842.77
"2020-01-20 00:00:00",6797,8629.44
"2020-01-21 00:00:00",8212,8625.83
"2020-01-22 00:00:00",6679,8688.08
"2020-01-23 00:00:00",7111,8485.96
"2020-01-24 00:00:00",10550,8371.67
"2020-01-25 00:00:00",8269,8353.87
"2020-01-26 00:00:00",7748,8453.95
"2020-01-27 00:00:00",9536,8781.69
"2020-01-28 00:00:00",8959,9149.99
"2020-01-29 00:00:00",8703,9331.72
"2020-01-30 00:00:00",9286,9371.49
"2020-01-31 00:00:00",14083,9363.62
"2020-02-01 00:00:00",11069,9376.24
"2020-02-02 00:00:00",13417,9319.53
"2020-02-03 00:00:00",8196,9418.24
"2020-02-04 00:00:00",8607,9218.32
"2020-02-05 00:00:00",9212,9456.63
"2020-02-06 00:00:00",11994,9693.23
"2020-02-07 00:00:00",10827,9790.17
"2020-02-08 00:00:00",9659,9800.76
"2020-02-09 00:00:00",8881,10021.69
"2020-02-10 00:00:00",12510,9973.13
"2020-02-11 00:00:00",10204,10043.38
"2020-02-12 00:00:00",13834,10362.99
"2020-02-13 00:00:00",13414,10290.78
"2020-02-14 00:00:00",15300,10245.52
"2020-02-15 00:00:00",12744,10089.24
