"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.04.2022","42.715,0","43.565,0","44.090,0","42.445,0","-","-1,53%"
"07.04.2022","43.380,0","43.880,0","43.885,0","42.720,0","4,61K","-0,90%"
"06.04.2022","43.775,0","45.995,0","46.060,0","43.130,0","7,11K","-5,13%"
"05.04.2022","46.140,0","46.600,0","47.445,0","45.550,0","7,49K","0,12%"
"04.04.2022","46.085,0","47.225,0","47.610,0","45.205,0","5,29K","-1,05%"
"03.04.2022","46.572,5","46.622,5","47.617,5","46.410,0","-","0,05%"
"01.04.2022","46.550,0","45.865,0","46.910,0","44.345,0","5,69K","1,78%"
"31.03.2022","45.735,0","47.220,0","47.875,0","45.620,0","5,48K","-3,19%"
"30.03.2022","47.240,0","47.430,0","48.000,0","46.715,0","4,07K","-1,44%"
"29.03.2022","47.930,0","47.970,0","48.390,0","47.235,0","4,68K","7,70%"
"28.03.2022","44.504,0","47.045,0","48.465,0","46.867,5","-","-5,43%"
"27.03.2022","47.060,0","44.782,5","47.130,0","44.782,5","-","5,74%"
"25.03.2022","44.504,0","43.975,0","45.170,0","43.625,0","0,69K","1,23%"
"24.03.2022","43.965,0","42.430,0","44.340,0","42.345,0","11,12K","4,06%"
"23.03.2022","42.250,0","42.880,0","42.985,0","41.815,0","8,00K","-0,33%"
"22.03.2022","42.390,0","41.335,0","43.490,0","40.885,0","10,06K","2,84%"
"21.03.2022","41.220,0","41.445,0","41.595,0","40.555,0","5,71K","-0,16%"
"20.03.2022","41.285,0","41.872,5","41.872,5","41.227,5","-","-1,92%"
"18.03.2022","42.095,0","41.050,0","42.360,0","40.180,0","5,11K","2,96%"
"17.03.2022","40.885,0","41.200,0","41.520,0","40.570,0","2,55K","-0,09%"
"16.03.2022","40.920,0","39.725,0","41.765,0","38.810,0","8,47K","2,92%"
"15.03.2022","39.760,0","38.725,0","39.935,0","38.085,0","4,60K","2,40%"
"14.03.2022","38.830,0","38.725,0","39.340,0","37.495,0","4,21K","2,81%"
"13.03.2022","37.770,0","38.880,0","38.880,0","37.505,0","-","-1,45%"
"11.03.2022","38.325,0","39.530,0","40.260,0","38.240,0","5,47K","-3,29%"
"10.03.2022","39.630,0","42.055,0","42.245,0","38.555,0","5,92K","-5,46%"
"09.03.2022","41.920,0","38.540,0","42.715,0","38.540,0","7,47K","8,87%"
"08.03.2022","38.505,0","38.110,0","39.410,0","37.895,0","5,23K","2,57%"
"07.03.2022","37.540,0","39.060,0","39.540,0","37.180,0","5,83K","-2,07%"
"06.03.2022","38.335,0","39.377,5","39.377,5","38.135,0","-","-3,06%"
"04.03.2022","39.545,0","42.495,0","42.640,0","39.090,0","5,66K","-6,02%"
"03.03.2022","42.080,0","44.205,0","44.325,0","41.870,0","6,11K","-4,20%"
"02.03.2022","43.925,0","44.205,0","45.455,0","43.420,0","6,40K","-0,71%"
"01.03.2022","44.240,0","43.100,0","45.110,0","42.930,0","8,75K","12,85%"
"28.02.2022","39.202,1","37.630,0","43.420,0","37.405,0","-","4,17%"
"27.02.2022","37.632,5","38.950,0","38.982,5","37.210,0","-","-4,00%"
"25.02.2022","39.202,1","38.110,0","39.645,0","37.900,0","0,54K","2,20%"
"24.02.2022","38.360,0","37.670,0","39.740,0","34.295,0","14,20K","1,86%"
"23.02.2022","37.660,0","37.890,0","39.235,0","37.365,0","9,50K","-0,67%"
"22.02.2022","37.915,0","38.860,0","39.460,0","36.340,0","12,99K","2,45%"
"21.02.2022","37.010,0","38.332,5","39.450,0","36.870,0","-","-3,44%"
"20.02.2022","38.327,5","40.010,0","40.010,0","38.295,0","-","-4,05%"
"18.02.2022","39.945,0","40.675,0","41.000,0","39.485,0","7,27K","-2,33%"
"17.02.2022","40.900,0","44.075,0","44.275,0","40.090,0","6,68K","-7,41%"
"16.02.2022","44.175,0","44.210,0","44.860,0","43.350,0","3,89K","-0,09%"
"15.02.2022","44.215,0","42.665,0","44.620,0","42.495,0","4,09K","4,76%"
"14.02.2022","42.205,0","42.470,0","42.930,0","41.560,0","5,40K","0,29%"
