"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.04.2022","363,52","363,52","363,52","363,52","-","-0,24%"
"07.04.2022","364,40","361,85","361,85","361,85","0,00K","0,18%"
"06.04.2022","363,75","366,63","366,95","363,00","0,09K","-1,07%"
"05.04.2022","367,70","372,05","372,83","367,45","0,07K","-1,40%"
"04.04.2022","372,92","372,92","372,92","372,92","-","0,88%"
"01.04.2022","369,67","369,67","369,67","369,67","-","0,49%"
"31.03.2022","367,88","371,80","371,80","371,80","0,04K","-1,37%"
"30.03.2022","372,98","374,23","374,75","374,23","0,02K","-0,58%"
"29.03.2022","375,15","372,85","375,30","372,85","0,02K","1,55%"
"28.03.2022","369,42","367,42","368,73","367,42","0,00K","0,44%"
"25.03.2022","367,80","365,80","367,80","365,80","0,17K","0,18%"
"24.03.2022","367,13","364,10","366,73","364,02","0,07K","1,16%"
"23.03.2022","362,90","364,17","364,17","364,17","0,00K","-1,20%"
"22.03.2022","367,30","367,58","367,58","367,58","0,00K","1,23%"
"21.03.2022","362,83","362,42","362,42","361,83","0,00K","0,06%"
"18.03.2022","362,59","362,59","362,59","362,59","-","0,99%"
"17.03.2022","359,02","355,50","358,88","355,50","0,04K","0,95%"
"16.03.2022","355,65","349,00","353,85","349,00","0,07K","3,24%"
"15.03.2022","344,48","339,98","341,80","339,58","0,03K","1,56%"
"14.03.2022","339,20","343,70","344,40","342,35","2,77K","-0,61%"
"11.03.2022","341,27","347,08","350,70","344,40","1,98K","-1,37%"
"10.03.2022","346,02","347,00","347,00","344,70","0,03K","-0,77%"
"09.03.2022","348,70","344,40","349,90","344,40","0,08K","2,98%"
"08.03.2022","338,60","339,50","340,73","337,00","0,08K","-0,21%"
"07.03.2022","339,30","342,15","347,10","342,00","0,06K","-3,11%"
"04.03.2022","350,20","351,23","351,23","348,70","0,04K","-1,39%"
"03.03.2022","355,15","358,95","358,95","354,25","0,15K","-1,13%"
"02.03.2022","359,23","354,30","359,58","354,30","0,11K","1,48%"
"01.03.2022","354,00","356,55","359,10","352,90","0,14K","-1,63%"
"28.02.2022","359,88","358,13","361,00","357,65","0,12K","-0,66%"
"25.02.2022","362,25","352,65","362,30","352,45","0,20K","2,28%"
"24.02.2022","354,17","342,27","353,67","340,70","0,20K","0,38%"
"23.02.2022","352,85","356,38","356,38","352,83","0,04K","-1,50%"
"22.02.2022","358,23","360,50","360,50","360,50","0,00K","-1,12%"
"21.02.2022","362,27","360,38","360,38","360,38","0,00K","0,00%"
"18.02.2022","362,27","366,40","366,40","362,40","0,07K","-0,78%"
"17.02.2022","365,13","369,88","369,88","365,27","0,07K","-1,89%"
"16.02.2022","372,15","369,27","369,85","369,27","0,03K","0,21%"
"15.02.2022","371,38","369,50","370,50","369,50","0,03K","1,70%"
"14.02.2022","365,15","363,27","366,50","362,33","0,34K","-0,41%"
"11.02.2022","366,65","373,50","373,50","366,50","0,03K","-1,83%"
"10.02.2022","373,50","378,27","379,67","372,70","0,05K","-1,41%"
"09.02.2022","378,85","377,85","378,88","377,85","0,17K","1,55%"
"08.02.2022","373,05","369,85","372,95","369,85","0,00K","0,77%"
"07.02.2022","370,20","369,75","371,88","369,75","0,15K","-0,22%"
