Feature Name,Feature Importance
closing_price,0.10986489298008692
avg_transaction_value tema90,0.10804227534581648
MSCIACW_spot ema60,0.10314701235095575
ISB_26,0.09696057610103338
FUTBTC,0.07417005435496858
sf_ratio ema90,0.06892793606073348
highest_price,0.06813479149628797
number_of_coins_in_circulation bband_lower90,0.06359325898712476
IKS_26,0.059564341371339376
ISA_9,0.051627518031345965
opening_price,0.03923549322136795
avg_price_usd,0.03807746942954163
lowest_price,0.03606316108975297
market_cap_usd,0.034277014021494356
ITS_9,0.03224508283740184
FUT500 ema3,0.012517029558933886
SP500_spot bband_lower5,0.00046143275305081356
