Date,opening_price,highest_price,lowest_price,closing_price,MSCIACW_spot,avg_transaction_value,tweets_day,avg_price_usd,market_cap_usd,sf_ratio,number_of_coins_in_circulation,SP500_spot,FUTMSCIACWI_spot,FUTBTC_spot,ISA_9,ISB_26,ITS_9,IKS_26,next_day_closing_price
2012-06-01,5.2,5.3,5.2,5.3,339.78,573.098,8193.0,5.237,47772937.0,3.4876635710263337,9135150.0,105.9564208984375,192.1999969482422,5.3,6.2,7.449999999999999,5.45,6.0,5.3
2012-06-02,5.3,5.3,5.2,5.3,339.78,815.262,8193.0,5.262,48036312.0,3.490679672810224,9143050.0,105.9564208984375,192.1999969482422,5.3,6.2,7.449999999999999,5.45,6.0,5.2
2012-06-03,5.3,5.3,5.2,5.2,339.78,268.139,8193.0,5.227,47755411.0,3.4885225873571883,9137400.0,105.9564208984375,192.1999969482422,5.2,6.2,7.449999999999999,5.45,6.0,5.3
2012-06-04,5.2,5.3,5.2,5.3,339.78,529.294,8193.0,5.243,47945780.0,3.496158288075899,9157400.0,105.90682220458984,192.1999969482422,5.3,6.2,7.449999999999999,5.45,6.0,5.4
2012-06-05,5.3,5.5,5.2,5.4,339.78,546.275,8193.0,5.353,48992775.0,3.499384371629554,9165850.0,106.70874786376953,192.1999969482422,5.4,6.2,7.449999999999999,5.45,6.0,5.5
2012-06-06,5.4,5.5,5.4,5.5,339.78,855.582,8193.0,5.45,49921219.0,3.4973800001908923,9160600.0,109.10636901855469,192.1999969482422,5.5,6.2,7.449999999999999,5.45,6.0,5.6
2012-06-07,5.5,5.6,5.4,5.6,339.78,805.067,8193.0,5.529,50691589.0,3.5046148266218706,9179550.0,109.1725082397461,192.1999969482422,5.6,6.2,7.449999999999999,5.45,6.0,5.6
2012-06-08,5.6,5.7,5.6,5.6,339.78,1281.0,8193.0,5.612,51484984.0,3.5078027316719322,9187900.0,110.04058074951172,192.1999969482422,5.6,6.2,7.449999999999999,5.45,6.0,5.6
2012-06-09,5.6,5.7,5.5,5.6,339.78,234.649,8193.0,5.596,51383611.0,3.50627559152819,9183900.0,110.04058074951172,192.1999969482422,5.6,6.2,7.449999999999999,5.45,6.0,5.5
2012-06-10,5.6,5.6,5.4,5.5,339.78,444.726,8193.0,5.514,50675075.0,3.5139876492540876,9204100.0,110.04058074951172,192.1999969482422,5.5,6.2,7.449999999999999,5.45,6.0,5.6
2012-06-11,5.5,5.6,5.4,5.6,339.78,515.474,8193.0,5.522,50788634.0,3.5166601445056362,9211100.0,108.64336395263672,192.1999969482422,5.6,6.2,7.449999999999999,5.45,6.0,5.7
2012-06-12,5.6,5.8,5.5,5.7,339.78,799.263,8193.0,5.648,51987295.0,3.5151902721172843,9207250.0,109.89175415039062,192.1999969482422,5.7,6.2,7.449999999999999,5.5,6.0,5.9
2012-06-13,5.7,6.0,5.7,5.9,339.78,248.836,8193.0,5.829,53707538.0,3.522539634059043,9226500.0,109.18903350830078,192.1999969482422,5.9,6.2,7.449999999999999,5.6,6.0,5.9
2012-06-14,5.9,6.0,5.8,5.9,339.78,463.345,8193.0,5.941,54783971.0,3.5255748250947305,9234450.0,110.3464584350586,192.1999969482422,5.9,6.2,7.449999999999999,5.7,6.0,6.5
2012-06-15,5.9,6.6,5.9,6.5,339.78,391.926,8193.0,6.227,57466049.0,3.5241431312099722,9230700.0,111.47502136230469,192.1999969482422,6.5,6.2,7.449999999999999,6.0,6.0,6.4
2012-06-16,6.5,6.6,6.3,6.4,339.78,580.078,8193.0,6.45,59574711.0,3.531740653425089,9250600.0,111.47502136230469,192.1999969482422,6.4,6.2,7.449999999999999,6.0,6.0,6.2
2012-06-17,6.4,6.5,6.1,6.2,339.78,202.101,8193.0,6.306,58296262.0,3.534737665957183,9258450.0,111.47502136230469,192.1999969482422,6.2,6.2,7.449999999999999,6.0,6.0,6.3
2012-06-18,6.2,6.4,6.0,6.3,339.78,401.692,8193.0,6.255,57873603.0,3.5332105258134407,9254450.0,111.69109344482422,192.1999969482422,6.3,6.2,7.449999999999999,6.0,6.0,6.5
2012-06-19,6.3,6.5,6.3,6.5,339.78,376.129,8193.0,6.404,59311750.0,3.5408080480285573,9274350.0,112.77143859863281,192.1999969482422,6.5,6.2,7.449999999999999,6.0,6.0,6.7
2012-06-20,6.5,6.7,6.4,6.7,339.78,348.855,8193.0,6.584,61027243.0,3.5431369367477643,9280450.0,112.58859252929688,192.1999969482422,6.7,6.2,7.449999999999999,6.1,6.0,6.7
2012-06-21,6.7,6.8,6.6,6.7,339.78,259.103,8193.0,6.675,61915964.0,3.5424879021866738,9278750.0,110.06226348876953,192.1999969482422,6.7,6.2,7.449999999999999,6.25,6.0,6.6
2012-06-22,6.7,6.8,6.4,6.6,339.78,636.784,8193.0,6.614,61394284.0,3.5489209800421873,9295600.0,110.90990447998047,192.1999969482422,6.6,6.2,7.449999999999999,6.3,6.0,6.4
2012-06-23,6.6,6.7,6.4,6.4,339.78,877.289,8193.0,6.488,60271402.0,3.551593475293736,9302600.0,110.90990447998047,192.1999969482422,6.4,6.2,7.449999999999999,6.35,6.0,6.3
2012-06-24,6.4,6.5,6.3,6.3,339.78,540.007,8193.0,6.389,59405022.0,3.551078065495223,9301250.0,110.90990447998047,192.1999969482422,6.3,6.2,7.449999999999999,6.4,6.0,6.3
2012-06-25,6.3,6.4,6.2,6.3,339.78,399.135,8193.0,6.327,58871501.0,3.557339340084565,9317650.0,109.1314926147461,192.1999969482422,6.3,6.2,7.449999999999999,6.4,6.0,6.4
2012-06-26,6.3,6.5,6.3,6.4,339.78,362.181,8193.0,6.375,59359510.0,3.560431798875643,9325750.0,109.67997741699219,192.1999969482422,6.4,6.2,7.449999999999999,6.4,6.0,6.7
2012-06-27,6.4,6.7,6.4,6.7,339.78,420.273,8193.0,6.553,61067661.0,3.55991638907713,9324400.0,110.66889953613281,192.1999969482422,6.7,6.2,7.449999999999999,6.5,6.0,6.6
2012-06-28,6.7,6.7,6.5,6.6,339.78,866.478,8193.0,6.626,61807569.0,3.5656813431197563,9339500.0,110.35311889648438,192.1999969482422,6.6,6.2,7.449999999999999,6.5,6.0,6.7
2012-06-29,6.6,6.7,6.5,6.7,339.78,729.469,8193.0,6.628,61867521.0,3.5683920168748986,9346600.0,113.10384368896484,192.1999969482422,6.7,6.2,7.449999999999999,6.5,6.0,6.7
2012-06-30,6.7,6.7,6.6,6.7,339.78,409.603,8193.0,6.67,62308674.0,3.5685638201410694,9347050.0,113.10384368896484,192.1999969482422,6.7,6.2,7.449999999999999,6.5,6.0,6.6
2012-07-01,6.7,6.7,6.5,6.6,339.78,462.787,8193.0,6.659,62254399.0,3.5740997031621347,9361550.0,113.10384368896484,192.1999969482422,6.6,6.2,7.449999999999999,6.45,6.1,6.8
2012-07-02,6.6,6.8,6.6,6.8,339.78,314.447,8193.0,6.68,62494074.0,3.5768676446726673,9368800.0,113.4445571899414,192.1999969482422,6.8,6.2,7.449999999999999,6.5,6.1,6.4
2012-07-03,6.8,6.8,6.4,6.4,339.78,417.369,8193.0,6.605,61841873.0,3.577554857737351,9370600.0,114.19249725341797,192.1999969482422,6.4,6.2,7.449999999999999,6.5,6.1,6.5
2012-07-04,6.4,6.6,6.4,6.5,339.78,635.589,8193.0,6.48,60723861.0,3.5825180632045126,9383600.0,114.19249725341797,192.1999969482422,6.5,6.2,7.449999999999999,6.55,6.1,6.7
2012-07-05,6.5,6.8,6.5,6.7,339.78,611.916,8193.0,6.59,61803902.0,3.5854387187294194,9391250.0,113.67725372314453,192.1999969482422,6.7,6.2,7.449999999999999,6.6,6.1,6.7
2012-07-06,6.7,6.7,6.6,6.7,339.78,382.489,8193.0,6.659,62499475.0,3.5886838915348713,9399750.0,112.59693908691406,192.1999969482422,6.7,6.2,7.449999999999999,6.6,6.1,6.8
2012-07-07,6.7,6.9,6.6,6.8,339.78,1082.0,8193.0,6.731,63227078.0,3.5863359135638677,9393600.0,112.59693908691406,192.1999969482422,6.8,6.2,7.449999999999999,6.65,6.2,6.8
2012-07-08,6.8,6.9,6.7,6.8,339.78,267.024,8193.0,6.781,63748376.0,3.5947733628580427,9415700.0,112.59693908691406,192.1999969482422,6.8,6.2,7.449999999999999,6.65,6.300000000000001,7.0
2012-07-09,6.8,7.1,6.7,7.0,339.78,583.916,8193.0,6.907,64985588.0,3.5952887726565557,9417050.0,112.45565032958984,192.1999969482422,7.0,6.2,7.449999999999999,6.75,6.449999999999999,7.2
2012-07-10,7.0,7.3,7.0,7.2,339.78,438.516,8193.0,7.111,66964927.0,3.6002710673755143,9430100.0,111.47502136230469,192.1999969482422,7.2,6.2,7.449999999999999,6.85,6.6,7.2
2012-07-11,7.2,7.3,7.0,7.2,339.78,263.653,8193.0,7.175,67622870.0,3.6031535443968274,9437650.0,111.49163055419922,192.1999969482422,7.2,6.2,7.449999999999999,6.85,6.65,7.8
2012-07-12,7.2,7.9,7.1,7.8,339.78,425.769,8193.0,7.467,70428154.0,3.606226913936108,9445700.0,110.95146942138672,192.1999969482422,7.8,6.2,7.449999999999999,7.15,6.95,7.7
2012-07-13,7.8,7.8,7.4,7.7,339.78,772.488,8193.0,7.676,72457986.0,3.604298899504634,9440650.0,112.81298828125,192.1999969482422,7.7,6.2,7.449999999999999,7.2,6.95,7.5
2012-07-14,7.7,7.7,7.5,7.5,339.78,819.321,8193.0,7.571,71526782.0,3.6119155109715475,9460600.0,112.81298828125,192.1999969482422,7.5,6.2,7.449999999999999,7.25,7.050000000000001,7.6
2012-07-15,7.5,7.7,7.4,7.6,339.78,390.287,8193.0,7.582,71686586.0,3.6147407202374704,9468000.0,112.81298828125,192.1999969482422,7.6,6.2,7.449999999999999,7.25,7.050000000000001,8.5
2012-07-16,7.6,8.6,7.6,8.5,339.78,542.288,8193.0,8.091,76560554.0,3.6135380973742732,9464850.0,112.54704284667969,192.1999969482422,8.5,6.2,7.449999999999999,7.65,7.4,8.8
2012-07-17,8.5,9.5,7.3,8.8,339.78,620.275,8193.0,8.65,81914572.0,3.6210019948268126,9484400.0,113.31990814208984,192.1999969482422,8.8,6.2,7.449999999999999,8.1,7.85,9.1
2012-07-18,8.8,9.4,8.5,9.1,339.78,437.442,8193.0,8.955,84878858.0,3.6237317578337516,9491550.0,114.15924072265625,192.1999969482422,9.1,6.2,7.449999999999999,8.25,7.85,8.9
