Date,Social Volume,Social Volume AI,Positive sentiment (Total),Negative sentiment (Total),Weighted sentiment (Total)
2010-05-11T00:00:00.000Z,2,4,0,0,
2010-05-12T00:00:00.000Z,1,2,0,0,
2010-05-13T00:00:00.000Z,1,2,0,0,
2010-05-14T00:00:00.000Z,4,7,0,0.9558106660842896,
2010-05-15T00:00:00.000Z,0,7,0,0,
2010-05-16T00:00:00.000Z,5,24,0,0,
2010-05-17T00:00:00.000Z,2,14,0,0,
2010-05-18T00:00:00.000Z,1,2,0,0,
2010-05-19T00:00:00.000Z,7,12,0.7922869324684143,0.8103868365287781,
2010-05-20T00:00:00.000Z,3,10,0,0,
2010-05-21T00:00:00.000Z,7,20,0,0.8280869722366333,
2010-05-22T00:00:00.000Z,7,28,0.7797935605049133,0,
2010-05-23T00:00:00.000Z,4,8,0,0,
2010-05-24T00:00:00.000Z,3,11,0,0,
2010-05-25T00:00:00.000Z,8,42,0,0,
2010-05-26T00:00:00.000Z,8,20,0.7830540537834167,0,
2010-05-27T00:00:00.000Z,3,3,0,0.7857120037078857,
2010-05-28T00:00:00.000Z,1,1,0,0,
2010-05-29T00:00:00.000Z,5,14,1.5742746591567993,0,
2010-05-30T00:00:00.000Z,6,20,0,0,
2010-05-31T00:00:00.000Z,3,14,0,0,
2010-06-01T00:00:00.000Z,1,7,0,0,
2010-06-02T00:00:00.000Z,2,8,0,0,
2010-06-03T00:00:00.000Z,5,8,0,0,
2010-06-04T00:00:00.000Z,5,18,0,0,
2010-06-05T00:00:00.000Z,10,22,0,1.5688639283180237,
2010-06-06T00:00:00.000Z,1,0,0,0,
2010-06-07T00:00:00.000Z,5,5,0.8083560466766357,0.8278027772903442,
2010-06-08T00:00:00.000Z,9,21,2.528143286705017,0,
2010-06-09T00:00:00.000Z,4,10,0,0,
2010-06-10T00:00:00.000Z,12,26,0,0.8155944347381592,
2010-06-11T00:00:00.000Z,11,41,0.885519802570343,0,
2010-06-12T00:00:00.000Z,13,30,3.291985869407654,0.7504045367240906,
2010-06-13T00:00:00.000Z,9,18,0.7900382876396179,0,
2010-06-14T00:00:00.000Z,11,26,0.8760643601417542,1.547616422176361,
2010-06-15T00:00:00.000Z,1,4,0,0,
2010-06-16T00:00:00.000Z,4,16,0,0.7914673089981079,
2010-06-17T00:00:00.000Z,2,16,0,0,
2010-06-18T00:00:00.000Z,1,2,0,0,
2010-06-19T00:00:00.000Z,4,16,0.9602623581886292,0,
2010-06-20T00:00:00.000Z,2,4,0,0,
